Movi Live Data
2013-01-23  21:02:02

Time(seconds)	rpm
943.532023	1947
944.913382	1889
946.244691	1852
947.590513	1813
948.931873	2459
950.288135	1791
951.647453	1712
953.005551	1560
954.342856	1379
955.695287	1174
957.101939	848
958.477679	936
959.837190	789
961.162117	756
962.522545	675
963.851447	816
